Numero_Factura,Fecha,Proveedor,Insumo,Cantidad,Precio_Unit,Total
FE69538,10/10/2025,TRITURADOS EL CHOCHO,GRAVA (c/IVA),31.0,54613.0,2014673.57
LPSE-15830,8/10/2025,LAVADERO SANTA ANITA,AGUA,1.0,30000.0,30000.0
CC531CO,8/10/2025,VEREAL MAQUINARIA SAS,ALQUILER BOBCAT 24 HORAS,1.0,2142000.0,2142000.0
FE69566,8/10/2025,TRITURADOS EL CHOCHO,GRAVA (c/IVA),8.0,54613.0,519915.76
CC532CO,9/10/2025,AYLEEN GARCIA,VIAJE DE GRAVA,2.0,160000.0,320000.0
CC533CO,8/10/2025,JHONATHAN BANGUERA,VIAJE DE TIERRA ,1.0,350000.0,350000.0
FE69594,14/10/2025,TRITURADOS EL CHOCHO,BASE GRANULAR (c/IVA),40.0,44546.0,2120389.6
FE69580,14/10/2025,TRITURADOS EL CHOCHO,BASE GRANULAR (c/IVA),15.0,44546.0,795146.1
3106100281016,15/10/2025,HOMECENTER,PUNTILLA CON CABEZA (c/IVA),1.0,8571.0,10199.49
FELE-12519,16/10/2025,FERROMATERIALES EL PLOMERO SAS,TABLA RUSTICA,6.0,19500.0,117000.0
FELE-12527,17/10/2026,FERROMATERIALES EL PLOMERO SAS,CEMENTO SAN MARCOS 50KG GRIS (c/IVA),5.0,23109.0,137498.55
3108100368745,17/10/2026,HOMECENTER,DISCO ABRASIVO CORTE (c/IVA),1.0,15546.0,18499.74
3108100368763,20/10/2026,HOMECENTER,DISCO ABRASIVO CORTE (C/IVA) (c/IVA),3.0,6386.0,22798.02
CC534CO,25/10/2025,OSCAR GARCÍA ,VOLQUETA,1.0,870000.0,870000.0
504908,25/10/2025,OPES PASOANCHO,GASOLINA CORRIENTE,1.0,20000.0,20000.0
CC535CO,25/10/2025,PRADO SINTÉTICO,PRADO SINTÉTICO,1.0,1510000.0,1510000.0
CC536CO,28/10/2025,JHONATHAN BANGUERA,PRADO TRENZA CON TRANSPORTE,50.0,8000.0,400000.0
CC537CO,30/10/2025,OSCAR GARCÍA ,VOLQUETA,1.0,700000.0,700000.0
CC538CO,01/11/2025,PRADO SINTÉTICO,PRADO SINTÉTICO,1.0,175000.0,175000.0
CC538CO,04/11/2025,OSCAR GARCÍA ,VOLQUETA,1.0,1160000.0,1160000.0
CC539CO,04/11/2025,PARQUEADERO LA GUADALUPE,PARQUEADERO,1.0,280000.0,280000.0
CC540CO,16/02/2026,ALMUERZOS DOÑA GLORIA,ALMUERZO ,1.0,16100.0,16100.0
CC541CO,05/11/2025,ALMUERZOS DOÑA GLORIA,ALMUERZO  (c/IVA),1.0,22500.0,26775.0
